epoch,batch_loss,train_loss,test_loss,train_acc,test_acc,train_correct,test_correct,train_n,test_n,seconds
1,1.6293916387399037,0.5613311106363932,0.5511616271972656,0.8226833333333333,0.8293,49361,8293,60000,10000,1.1552492849999965
2,0.41415852914651236,0.3255205769856771,0.3206263153076172,0.9026333333333333,0.9057,54158,9057,60000,10000,0.910924596000001
3,0.27248103396097817,0.23622581024169922,0.234732275390625,0.92905,0.929,55743,9290,60000,10000,0.7562805180000112
4,0.19662494177420933,0.16032321434020996,0.16545149688720703,0.9532333333333334,0.9502,57194,9502,60000,10000,0.6189061299999992
5,0.15245904421806336,0.1420085792541504,0.15255939102172852,0.9574833333333334,0.9538,57449,9538,60000,10000,0.6195374269999832
6,0.12378084204594295,0.13456132736206056,0.1469897247314453,0.95945,0.955,57567,9550,60000,10000,0.6329073839999921
7,0.10298650561968485,0.08710509452819824,0.10577401428222656,0.9744333333333334,0.9683,58466,9683,60000,10000,0.7289566089999937
8,0.08898548314174017,0.08047940718332927,0.10174867706298828,0.97635,0.9695,58581,9695,60000,10000,0.6828103189999979
9,0.07737996365626654,0.2378828742980957,0.2619147216796875,0.9229833333333334,0.9166,55379,9166,60000,10000,0.6423023440000009
10,0.06810792001684507,0.05994677381515503,0.09204467315673828,0.9827,0.9705,58962,9705,60000,10000,0.618897311000012
11,0.05953271009325981,0.05994669669469198,0.09558602523803711,0.9821,0.9697,58926,9697,60000,10000,0.614361142000007
12,0.05269276990890503,0.042883972835540775,0.08102267684936523,0.9879666666666667,0.9746,59278,9746,60000,10000,0.6176751069999966
13,0.13975262040893235,0.0639932233174642,0.09366613883972168,0.9810333333333333,0.971,58862,9710,60000,10000,0.617104468000008
14,0.05471991672714551,0.062322721354166666,0.10152869834899902,0.9813666666666667,0.9682,58882,9682,60000,10000,0.6873088489999759
15,0.0432655836224556,0.04989796142578125,0.09690755233764649,0.9850666666666666,0.9698,59104,9698,60000,10000,0.7117273130000115
16,0.036284421149889626,0.032179051701227826,0.07750929718017578,0.9913,0.9766,59478,9766,60000,10000,0.7321634930000016
17,0.031115222455064456,0.027978329610824585,0.07699652976989746,0.9920666666666667,0.9771,59524,9771,60000,10000,0.6662481480000224
18,0.02641242962181568,0.025022909990946453,0.07517191905975341,0.9932166666666666,0.9781,59593,9781,60000,10000,0.6789254319999998
19,0.02286503520247837,0.016368830966949462,0.06990400695800782,0.9966333333333334,0.9798,59798,9798,60000,10000,0.6413258310000174
20,0.019033984193205834,0.0149108860095342,0.0733318962097168,0.9969,0.9789,59814,9789,60000,10000,0.6604988470000137
